epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.967,1.15771,3.11276,1.39972,0.80315,0.06555,0.15387,0.10521,0.95663,3.19905,1.38769,0.000249213,0.000249213,0.000249213
2,489.05,1.09387,2.16527,1.37338,0.80652,0.16593,0.2205,0.15584,1.08396,2.60846,1.50154,0.000495536,0.000495536,0.000495536
3,692.13,1.10303,1.97892,1.40092,0.80096,0.11376,0.12657,0.07061,1.27596,3.80813,1.78352,0.000731709,0.000731709,0.000731709
4,870.938,1.11239,1.78641,1.37771,0.68495,0.29708,0.27282,0.17239,1.14297,2.86654,1.56459,0.000723321,0.000723321,0.000723321
5,1070.77,1.12132,1.68651,1.39474,0.74391,0.2254,0.24329,0.14791,1.08504,2.41754,1.48895,0.000708095,0.000708095,0.000708095
6,1367.78,1.11657,1.59454,1.3662,0.75438,0.24069,0.25875,0.15609,1.34882,2.29494,1.72669,0.000692869,0.000692869,0.000692869
7,1640.44,1.10421,1.57986,1.36419,0.81144,0.21651,0.28556,0.17645,1.12848,2.33003,1.64243,0.000677643,0.000677643,0.000677643
8,1824.49,1.07918,1.49695,1.32227,0.76524,0.28871,0.26165,0.15666,1.1229,2.07385,1.4736,0.000662417,0.000662417,0.000662417
9,2007.78,1.06123,1.5035,1.30772,0.7443,0.33455,0.31542,0.20841,0.99652,1.82581,1.38221,0.00064719,0.00064719,0.00064719
10,2197.22,1.03333,1.35891,1.30951,0.81905,0.38584,0.40549,0.26697,1.094,1.67966,1.45045,0.000631964,0.000631964,0.000631964
11,2379.7,1.01034,1.33341,1.2797,0.80488,0.34907,0.37583,0.23948,1.13866,1.74983,1.47587,0.000616738,0.000616738,0.000616738
12,2559.77,0.99874,1.27169,1.28847,0.8526,0.33528,0.36784,0.26011,0.98011,1.66335,1.33134,0.000601512,0.000601512,0.000601512
13,2733.28,0.97512,1.22886,1.25987,0.85317,0.35202,0.4017,0.28613,0.9942,1.55511,1.34156,0.000586286,0.000586286,0.000586286
14,2915.9,0.98304,1.20748,1.25793,0.87453,0.35448,0.38259,0.26905,0.97371,1.50095,1.34512,0.000571059,0.000571059,0.000571059
15,3101.83,0.92656,1.11276,1.23619,0.84939,0.35289,0.37045,0.24791,1.01601,1.57575,1.40373,0.000555833,0.000555833,0.000555833
16,3304.63,0.9033,1.07638,1.20934,0.88523,0.38975,0.42332,0.31765,0.89908,1.30888,1.28819,0.000540607,0.000540607,0.000540607
17,3494.36,0.92355,1.07015,1.23559,0.823,0.37878,0.40146,0.27001,0.96883,1.43075,1.30434,0.000525381,0.000525381,0.000525381
18,3685.67,0.90482,1.07538,1.22211,0.91005,0.33802,0.41094,0.29488,0.94291,1.45182,1.32539,0.000510155,0.000510155,0.000510155
19,3873.42,0.87815,1.00071,1.1912,0.81182,0.41818,0.42457,0.30408,0.92841,1.34742,1.27629,0.000494928,0.000494928,0.000494928
20,4112.13,0.87083,1.04528,1.19838,0.72651,0.38363,0.44652,0.32835,0.86755,1.30567,1.26157,0.000479702,0.000479702,0.000479702
21,4333.29,0.8728,1.01289,1.19369,0.72869,0.38125,0.44542,0.32294,0.8806,1.19859,1.25307,0.000464476,0.000464476,0.000464476
22,4558.87,0.85819,0.96931,1.18507,0.9351,0.37212,0.44745,0.33414,0.8926,1.2369,1.27783,0.00044925,0.00044925,0.00044925
23,4798.18,0.85624,0.94494,1.16963,0.92633,0.39655,0.45924,0.33662,0.89523,1.16179,1.2628,0.000434024,0.000434024,0.000434024
24,5058.34,0.83837,0.91054,1.17153,0.67062,0.42684,0.44232,0.33338,0.88972,1.14009,1.28343,0.000418797,0.000418797,0.000418797
25,5318.04,0.85738,0.95536,1.18701,0.73655,0.42826,0.45771,0.33461,0.92155,1.12408,1.28234,0.000403571,0.000403571,0.000403571
26,5611.54,0.83659,0.94324,1.1747,0.76873,0.38284,0.46569,0.35177,0.82316,1.1304,1.20309,0.000388345,0.000388345,0.000388345
27,5852.88,0.82924,0.90008,1.16846,0.70941,0.39602,0.45175,0.34212,0.87359,1.22837,1.23905,0.000373119,0.000373119,0.000373119
28,6099.82,0.82979,0.87418,1.17351,0.76842,0.41151,0.49132,0.3834,0.8246,1.06833,1.20139,0.000357893,0.000357893,0.000357893
29,6269.9,0.82931,0.8485,1.17031,0.75411,0.40803,0.4712,0.36914,0.83114,1.09707,1.20087,0.000342666,0.000342666,0.000342666
30,6492.39,0.7814,0.83739,1.14198,0.77729,0.38971,0.4499,0.34769,0.81415,1.09719,1.21124,0.00032744,0.00032744,0.00032744
31,6704.16,0.76442,0.78522,1.11319,0.75966,0.39554,0.4627,0.36882,0.8473,1.05236,1.22997,0.000312214,0.000312214,0.000312214
32,7402.16,0.78152,0.79939,1.13676,0.77061,0.40311,0.47014,0.36205,0.87776,1.06562,1.27335,0.000296988,0.000296988,0.000296988
33,7651.04,0.7741,0.80396,1.13028,0.76629,0.40708,0.46986,0.37751,0.79534,1.00002,1.198,0.000281762,0.000281762,0.000281762
34,7898.82,0.76913,0.79227,1.13201,0.75165,0.43295,0.4823,0.37341,0.83976,0.97938,1.21471,0.000266535,0.000266535,0.000266535
35,8576.32,0.74452,0.75749,1.12129,0.76451,0.42292,0.47833,0.38174,0.80155,0.97098,1.20028,0.000251309,0.000251309,0.000251309
36,8750.32,0.73724,0.74994,1.11172,0.781,0.43563,0.48895,0.37207,0.84814,0.97466,1.22892,0.000236083,0.000236083,0.000236083
37,8944.1,0.74935,0.72758,1.11129,0.77551,0.41632,0.48352,0.37917,0.79446,0.96118,1.17326,0.000220857,0.000220857,0.000220857
38,31197.1,0.71569,0.72331,1.08674,0.7427,0.43503,0.48766,0.38486,0.79328,0.96017,1.19815,0.000205631,0.000205631,0.000205631
39,32402.5,0.7303,0.72338,1.10392,0.78173,0.40234,0.48091,0.38939,0.77885,0.93705,1.16945,0.000190404,0.000190404,0.000190404
40,32641.5,0.70183,0.70415,1.08479,0.79217,0.41833,0.49438,0.39281,0.77842,0.90785,1.17577,0.000175178,0.000175178,0.000175178
41,33032.3,0.58419,0.66186,1.05761,0.92178,0.42165,0.48056,0.38114,0.77132,0.99092,1.19938,0.000159952,0.000159952,0.000159952
42,33221.9,0.57496,0.60346,1.03352,0.92904,0.45164,0.52351,0.41151,0.75307,0.90675,1.16859,0.000144726,0.000144726,0.000144726
43,33864.2,0.56122,0.57662,1.01984,0.94845,0.44047,0.50089,0.39849,0.75007,0.87773,1.15959,0.0001295,0.0001295,0.0001295
44,35722,0.5385,0.55746,1.00026,0.93847,0.46398,0.50248,0.4142,0.75463,0.86808,1.14494,0.000114273,0.000114273,0.000114273
45,35906,0.54217,0.53757,1.01636,0.79177,0.43565,0.48736,0.39892,0.75056,0.85782,1.14082,9.90472e-05,9.90472e-05,9.90472e-05
46,36099.1,0.52711,0.52849,1.00042,0.78254,0.42903,0.48742,0.39943,0.72653,0.88441,1.11562,8.3821e-05,8.3821e-05,8.3821e-05
47,36579.1,0.51898,0.52069,0.9931,0.76893,0.43394,0.48262,0.39585,0.72284,0.90142,1.12378,6.85948e-05,6.85948e-05,6.85948e-05
48,36831.2,0.51451,0.51625,1.00369,0.77034,0.43331,0.49315,0.40273,0.73246,0.86572,1.12798,5.33686e-05,5.33686e-05,5.33686e-05
49,37114,0.49563,0.49159,0.98675,0.76476,0.43376,0.49613,0.4134,0.71782,0.84961,1.11234,3.81424e-05,3.81424e-05,3.81424e-05
50,37530.7,0.49762,0.49497,0.97771,0.77303,0.43892,0.4948,0.41148,0.71402,0.83613,1.11175,2.29162e-05,2.29162e-05,2.29162e-05
